tab	tabs
trend	trended
trestle	trestles
triage	triaged
trend	trends
triage	triages
triage	triaging
trial	trialing
triad	triads
trial	trialed
trialist	trialists
triallist	triallists
triangle	triangles
triangulate	triangulated
triangulate	triangulating
triangulation	triangulations
triathlete	triathletes
triangulate	triangulates
triathlon	triathlons
tribe	tribes
triazole	triazoles
tribesman	tribesmen
tribesperson	tribespeople
tribulation	tribulations
tribune	tribunes
tribunal	tribunals
tributary	tributaries
trice	trices
tribute	tributes
triceps	tricepses
trichiasis	trichiases
trichotillomania	trichotillomanias
trick	tricked
trichome	trichomes
trick	tricks
trick	tricking
trickle	trickled
trickle	trickling
trickster	tricksters
tricky	trickier
trickle	trickles
tricolor	tricolors
tricky	trickiest
tricolour	tricolours
tricyclic	tricyclics
trident	tridents
tricycle	tricycles
trial	trials
triennium	triennia
trifle	trifled
triennium	trienniums
trifle	trifling
triforium	triforia
trier	triers
trifle	trifles
trigger	triggering
triggerfish	triggerfishes
trigger	triggers
trigger	triggered
trigram	trigrams
triglyceride	triglycerides
trilby	trilbies
trike	trikes
trigon	trigons
trill	trills
trill	trilled
trilobite	trilobites
trill	trilling
trilogy	trilogies
trillion	trillions
trim	trimmest
trim	trimmed
trim	trimming
trim	trims
trimaran	trimarans
trimester	trimesters
trim	trimmer
trimmer	trimmers
trimming	trimmings
trimer	trimers
trinitarian	trinitarians
trinitrate	trinitrates
trinket	trinkets
trinity	trinities
trioxide	trioxides
trio	trios
trip	tripped
trip	tripping
tripe	tripes
trip	trips
trine	trines
triphosphate	triphosphates
triple	triples
triple	tripling
triplet	triplets
triplicate	triplicates
tripod	tripods
tripper	trippers
triptych	triptychs
triple	tripled
tripwire	tripwires
triptan	triptans
trisomy	trisomies
trite	tritest
triumph	triumphed
triumph	triumphing
triumphalist	triumphalists
triumvirate	triumvirates
trite	triter
trivialise	trivialised
trivialise	trivialising
triviality	trivialities
trivialize	trivialized
trivialise	trivialises
trivialize	trivializing
triumph	triumphs
trivialize	trivializes
trochanter	trochanters
trogon	trogons
troglodyte	troglodytes
Trojan	Trojans
troll	trolling
troll	trolls
trivium	trivia
trolley	trolleys
trollop	trollops
trombone	trombones
trolly	trollies
trombonist	trombonists
troop	trooped
trompe	trompes
troop	troops
troop	trooping
trooper	troopers
troopship	troopships
trophoblast	trophoblasts
trophy	trophies
tropic	tropics
tropism	tropisms
troponin	troponins
tropopause	tropopauses
troll	trolled
troposphere	tropospheres
trot	trotted
trot	trotting
Trotskyist	Trotskyists
Trotskyite	Trotskyites
trope	tropes
trotter	trotters
trouble	troubled
troubadour	troubadours
trouble	troubling
troublemaker	troublemakers
trouble-maker	trouble-makers
troubleshoot	troubleshooted
troubleshoot	troubleshooting
trouble	troubles
troubleshoot	troubleshoots
trough	troughs
troubleshooter	troubleshooters
trounce	trounces
trounce	trounced
trounce	trouncing
trot	trots
troupe	troupes
trousseau	trousseaus
trousseau	trousseaux
trouser	trousers
trove	troves
trouper	troupers
truancy	truancies
truant	truants
truce	truces
trowel	trowels
truck	trucked
truck	trucking
trucker	truckers
truck	trucks
truckle	truckles
truckle	truckling
truckload	truckloads
truckle	truckled
trudge	trudges
trudge	trudged
trudge	trudging
TRUE	truest
trout	trouts
truffle	truffles
truism	truisms
trump	trumped
trump	trumping
trug	trugs
trump	trumps
trumpet	trumpeting
trumpet	trumpeted
trumpeter	trumpeters
truncate	truncated
truncate	truncates
trumpet	trumpets
truncate	truncating
truncheon	truncheons
truncation	truncations
trundle	trundles
trundle	trundling
trunk	trunks
trundle	trundled
trunnion	trunnions
truss	trussed
truss	trussing
truss	trusses
trust	trusting
trust	trusted
trustee	trustees
trusteeship	trusteeships
TRUE	truer
trust	trusts
truth	truths
trusty	trustier
try	tried
try	trying
trusty	trustiest
trypanosome	trypanosomes
trypanosomiasis	trypanosomiases
trypsin	trypsins
try	tries
tryptophan	tryptophans
tsar	tsars
try-out	try-outs
tryst	trysts
tsarist	tsarists
T-shirt	T-shirts
tsetse	tsetses
tsarina	tsarinas
T-square	T-squares
t-test	t-tests
tsunami	tsunamis
tub	tubs
tuba	tubae
tubby	tubbier
tsp	tsps
tubby	tubbiest
tuber	tubera
tuber	tubers
tubercle	tubercles
tuberculin	tuberculins
tuberculosis	tuberculoses
tuberosity	tuberosities
tubing	tubings
tubule	tubules
tube	tubes
tubulin	tubulins
tuck	tucking
tuba	tubas
tuck	tucked
Tuesday	Tuesdays
tufa	tufas
tuff	tuffs
tuft	tufts
Tue	Tues
tuck	tucks
tug	tugs
tug	tugged
tug	tugging
tug-of-war	tugs-of-war
tug-of-war	tug-of-wars
tulip	tulips
tuition	tuitions
tui	tuis
tumble	tumbled
tumble	tumbling
tumbler	tumblers
tumbleweed	tumbleweeds
tumbrel	tumbrels
tummy	tummies
tumble	tumbles
tumorigenesis	tumorigeneses
tum	tums
tumor	tumors
tumour	tumours
tumourigenesis	tumourigeneses
tumulus	tumuluses
tun	tuns
tumulus	tumuli
tundra	tundras
tune	tuned
tumult	tumults
tune	tuning
tuner	tuners
tunic	tunics
tunica	tunicae
tunicate	tunicates
tuning	tunings
tune	tunes
Tunisian	Tunisians
tunnel	tunneling
tuna	tunas
tunnel	tunneled
tunnel	tunnelling
tunnel	tunnelled
tuple	tuples
tunny	tunnies
tunnel	tunnels
turbine	turbines
turbidity	turbidities
turbo	turbos
turbojet	turbojets
turbulence	turbulences
turd	turds
turban	turbans
turbot	turbots
tureen	tureens
turf	turfs
turf	turfed
turfgrass	turfgrasses
Turk	Turks
turf	turfing
turn	turned
turkey	turkeys
turn	turns
turn	turning
turnabout	turnabouts
turn-around	turn-arounds
turnaround	turnarounds
turner	turners
turncoat	turncoats
turning-point	turning-points
turnip	turnips
turning	turnings
turn-key	turn-keys
turnkey	turnkeys
turn-off	turn-offs
turn-on	turn-ons
turn-out	turn-outs
turf	turves
turnover	turnovers
turnpike	turnpikes
turn-over	turn-overs
turnstile	turnstiles
turnstone	turnstones
turntable	turntables
turn-up	turn-ups
turnround	turnrounds
turnout	turnouts
turquoise	turquoises
turtledove	turtledoves
turtle	turtles
turtleneck	turtlenecks
tussle	tussled
tussle	tussles
tussle	tussling
tussock	tussocks
tusk	tusks
tutee	tutees
tutelage	tutelages
tutor	tutoring
tutor	tutors
tutor	tutored
tut-tut	tut-tuts
tutorial	tutorials
tut-tut	tut-tutting
turret	turrets
tut-tut	tut-tutted
tuxedo	tuxedos
tuxedo	tuxedoes
twain	twains
twang	twanged
twang	twanging
twang	twangs
tweak	tweaked
tweak	tweaking
tweak	tweaks
TV	TVs
tutu	tutus
tweet	tweeted
tweet	tweeting
tweezer	tweezers
twelfth	twelfths
tweed	tweeds
twelve	twelves
twentieth	twentieths
twelve-month	twelve-months
twenty-eighth	twenty-eighths
twenty-fifth	twenty-fifths
twenty	twenties
twenty-fourth	twenty-fourths
twenty-ninth	twenty-ninths
twenty-first	twenty-firsts
twenty-second	twenty-seconds
twenty-seventh	twenty-sevenths
twenty-sixth	twenty-sixths
twenty-third	twenty-thirds
twiddle	twiddled
twiddle	twiddles
twiddle	twiddling
twerp	twerps
twig	twigging
tweet	tweets
twiggy	twiggier
twilight	twilights
twin	twinned
twin	twinning
twin	twins
twig	twigged
twine	twines
twine	twining
twinge	twinges
twinkle	twinkled
twinkle	twinkles
twinkle	twinkling
twin-set	twin-sets
twirl	twirled
twirl	twirling
twine	twined
twig	twigs
twirl	twirls
twist	twisting
twister	twisters
twist	twisted
twisty	twistier
twitch	twitched
twist	twists
twitch	twitches
twitch	twitching
twitcher	twitchers
twitter	twittering
twit	twits
twitter	twitters
twitter	twittered
two-piece	two-pieces
two	twos
two-faced	two-faceds
two-time	two-timed
two-seater	two-seaters
two-time	two-times
two-time	two-timing
tyke	tykes
tycoon	tycoons
tympanum	tympanums
type	typed
twosome	twosomes
type	types
type	typing
typecast	typecasts
typecast	typecasting
typescript	typescripts
typeset	typesets
typeface	typefaces
typesetter	typesetters
typewrite	typewriting
tympanum	tympana
typewrite	typewritten
typewriter	typewriters
typewrite	typewrote
typewrite	typewrites
typicality	typicalities
typification	typifications
typify	typifies
typhoon	typhoons
typing	typings
typify	typifying
typify	typified
typographer	typographers
typography	typographies
typology	typologies
typo	typos
typist	typists
tyrannize	tyrannized
tyrannize	tyrannizing
tyranny	tyrannies
tyrannize	tyrannizes
tyramine	tyramines
tyre	tyres
tyrant	tyrants
tyre	tyring
tyrosine	tyrosines
tzar	tzars
tyre	tyred
tyro	tyros
