ma	mas
modulate	modulated
modulator	modulators
modulus	moduli
modulate	modulating
mogul	moguls
moggy	moggies
Mohammedan	Mohammedans
moiety	moieties
module	modules
moist	moister
moist	moistest
moisten	moistened
moisten	moistens
moisten	moistening
moisturise	moisturised
moisture	moistures
moisturise	moisturises
moisturise	moisturising
moisturiser	moisturisers
moisturize	moisturizes
moisturize	moisturized
moisturize	moisturizing
moisturizer	moisturizers
mola	molas
molar	molars
mold	molded
mold	molding
mol	mols
mold	molds
molding	moldings
mole	moles
moldy	moldier
molecule	molecules
molest	molested
molehill	molehills
molest	molesting
molest	molests
molestation	molestations
moll	molls
molester	molesters
mollify	mollifies
mollify	mollified
mollify	mollifying
mollusk	mollusks
moi	mois
molly	mollies
mollycoddle	mollycoddled
mollycoddle	mollycoddling
mollycoddle	mollycoddles
molt	molted
mollusc	molluscs
mom	moms
molt	molts
moment	moments
momento	momentoes
momentum	momenta
momentum	momentums
momma	mommas
momento	momentos
mon	mons
monarch	monarches
molt	molting
monarch	monarchs
monarchist	monarchists
monastery	monasteries
monarchy	monarchies
monetarist	monetarists
monad	monads
Monday	Mondays
monetary	monetarier
monetary	monetariest
monetise	monetising
monetise	monetises
monetise	monetised
monetize	monetizing
monetize	monetizes
money	moneys
monetize	monetized
money-box	money-boxes
moneylender	moneylenders
money-lender	money-lenders
monger	mongers
money-maker	money-makers
Mongol	Mongols
Mongolian	Mongolians
mongoose	mongooses
money	monies
mongrel	mongrels
monitor	monitored
monitor	monitoring
monitoring	monitorings
moniker	monikers
monkey	monkeyed
monitor	monitors
monkey	monkeying
monkey	monkeys
monk	monks
monkfish	monkfishes
mono	monos
monobloc	monoblocs
monoclonal	monoclonals
monochromator	monochromators
monocle	monocles
monoculture	monocultures
monocytogene	monocytogenes
monofilament	monofilaments
monograph	monographs
monogram	monograms
monohydrate	monohydrates
monolith	monoliths
monolayer	monolayers
monolog	monologs
monologue	monologues
monoplane	monoplanes
monomer	monomers
monocyte	monocytes
monopolise	monopolises
monopolise	monopolising
monopole	monopoles
monopolise	monopolised
monopolist	monopolists
monopolize	monopolizing
monopoly	monopolies
monopolize	monopolized
monosaccharide	monosaccharides
monorail	monorails
monosyllable	monosyllables
monotherapy	monotherapies
monotheist	monotheists
monopolize	monopolizes
monsieur	messieurs
Monsignor	Monsignors
monsoon	monsoons
monoxide	monoxides
monstrosity	monstrosities
monster	monsters
monotone	monotones
monte	montes
montage	montages
monument	monuments
month	months
monthly	monthlies
moo	mooed
moo	mooing
mooch	mooched
mooch	mooching
mood	moods
moody	moodier
mooch	mooches
moody	moodiest
moon	mooning
moon	mooned
moonbeam	moonbeams
moonlight	moonlighted
moonlight	moonlighting
moo	moos
moon	moons
moonscape	moonscapes
moonstone	moonstones
moony	moonier
moonlight	moonlights
moor	moors
moor	mooring
moorhen	moorhens
moorland	moorlands
moor	moored
mooring	moorings
moot	moots
moot	mooted
mop	mopping
moot	mooting
mope	moped
mop	mops
mop	mopped
mope	moping
moped	mopeds
moquette	moquettes
moral	morals
moraine	moraines
moralise	moralised
moralise	moralising
moralist	moralists
morality	moralities
moralize	moralized
moralise	moralises
mope	mopes
moralize	moralizes
moralize	moralizing
moratorium	moratoriums
morass	morasses
moratorium	moratoria
morbidity	morbidities
morel	morels
mordant	mordants
morgue	morgues
moray	morays
morgan	morgans
morn	morns
Mormon	Mormons
morning	mornings
Moroccan	Moroccans
morph	morphed
morph	morphing
morpheme	morphemes
morph	morphs
morphine	morphines
morphogenesis	morphogeneses
morphology	morphologies
morphometry	morphometries
mortal	mortals
mortality	mortalities
mortar	mortared
moron	morons
morsel	morsels
mortarboard	mortarboards
mortar	mortars
mortgage	mortgaged
mortgage	mortgaging
mortgagee	mortgagees
mortice	mortices
mortgage	mortgages
mortician	morticians
mortify	mortified
mortification	mortifications
mortify	mortifying
mortar	mortaring
mortify	mortifies
mortise	mortising
mortise	mortised
mortuary	mortuaries
mosaicity	mosaicities
mosey	moseyed
mosaic	mosaics
mortise	mortises
Moslem	Moslems
mosque	mosques
mosquito	mosquitoes
mosquito	mosquitos
moss	mosses
mosey	moseying
mossy	mossiest
MOT	MOTs
mossy	mossier
moth	moths
motel	motels
mother	mothered
mothball	mothballs
mother	mothers
mother	mothering
mother-in-law	mother-in-laws
motherland	motherlands
mother-in-law	mothers-in-law
mother-tongue	mother-tongues
mother-to-be	mothers-to-be
mothproof	mothproofing
mosey	moseys
mothproof	mothproofs
motility	motilities
mothproof	mothproofed
motion	motioning
motif	motifs
motion	motioned
motivate	motivated
motivate	motivating
motivation	motivations
motivate	motivates
motivator	motivators
motor	motored
motion	motions
motor	motors
motor	motoring
motorbike	motorbikes
motive	motives
motorboat	motorboats
motor-car	motor-cars
motorcade	motorcades
motorcycle	motorcycled
motorcycle	motorcycling
motor-cycle	motor-cycles
motorcyclist	motorcyclists
motorcar	motorcars
motorcycle	motorcycles
motorise	motorising
motorise	motorises
motorise	motorised
motorize	motorized
motorize	motorizing
motorize	motorizes
motte	mottes
motorist	motorists
motorway	motorways
mottle	mottled
mottle	mottling
motto	mottoes
mottle	mottles
motto	mottos
mould	moulding
moulder	mouldered
moulder	mouldering
moulder	moulders
moulding	mouldings
mould	moulded
mouldy	mouldier
mouldy	mouldiest
moult	moulting
moult	moults
moult	moulted
mould	moulds
mount	mounted
mount	mounting
mound	mounds
mountain	mountains
mountaineer	mountaineers
mountainside	mountainsides
mountebank	mountebanks
mount	mounts
mountant	mountants
mourn	mourning
mourn	mourned
mounting	mountings
mourn	mourns
mourner	mourners
mouse-click	mouse-clicks
mouse	mice
mourning	mournings
moustache	moustaches
mousy	mousiest
mousetrap	mousetraps
mousy	mousier
mouth	mouthing
mouthful	mouthfuls
mouth	mouths
mouthful	mouthsful
mouthpart	mouthparts
mouthguard	mouthguards
mouthwash	mouthwashes
mouthpiece	mouthpieces
movable	movables
move	moved
mouth	mouthed
moveable	moveables
move	moving
movement	movements
mover	movers
moviegoer	moviegoers
movie	movies
mow	mowing
mow	mowed
move	moves
mower	mowers
mow	mown
moxibustion	moxibustions
MP	MPs
moyen	moyens
mow	mows
Mr	Messrs
mpg	mpgs
ms	mss
MSc	MScs
msec	msecs
Mt	Mts
mu	mus
much	more
mucilage	mucilages
Ms	Mse
much	most
mucin	mucins
muck	mucks
muck	mucked
muckraker	muckrakers
mucky	muckiest
mucosa	mucosae
mucky	muckier
mucosa	mucosas
mucositis	mucositides
muddle	muddles
muck	mucking
muddle	muddled
muddy	muddier
muddy	muddied
muddle	muddling
muddy	muddying
mudflat	mudflats
mudguard	mudguards
mudpack	mudpacks
muddy	muddies
muddy	muddiest
muezzin	muezzins
muff	muffing
muff	muffs
muff	muffed
muffin	muffins
muffle	muffles
muffle	muffling
muffler	mufflers
muffle	muffled
mudra	mudras
mug	mugging
mufti	muftis
mugger	muggers
mugging	muggings
muggy	muggier
muggy	muggiest
Muhammadan	Muhammadans
mug	mugged
mulatto	mulattoes
mulberry	mulberries
mulatto	mulattos
mug	mugs
mulch	mulched
mulch	mulches
mulch	mulching
mull	mulling
mull	mulls
mull	mulled
mullah	mullahs
mullet	mullets
multi-author	multi-authors
multibillion	multibillions
mule	mules
multi	multis
multi-billion	multi-billions
multi-criterion	multi-criteria
multiculturalism	multiculturalisms
multicast	multicasts
multiculturalist	multiculturalists
multi-column	multi-columns
multi-employer	multi-employers
multi-discipline	multi-disciplines
multi-function	multi-functions
multi-layer	multi-layers
multifunction	multifunctions
multi-member	multi-members
multimeter	multimeters
multi-million	multi-millions
multi-millionaire	multi-millionaires
multilayer	multilayers
multimodality	multimodalities
multi-national	multi-nationals
multinational	multinationals
multipath	multipaths
multimap	multimaps
multinomial	multinomials
multiplex	multiplexes
multiplexer	multiplexers
multiplication	multiplications
multiplicity	multiplicities
multiplexor	multiplexors
multiply	multiplied
multiplier	multipliers
multiply	multiplies
multiply	multiplying
multiprocessor	multiprocessors
multi-processor	multi-processors
multiresolution	multiresolutions
multi-sector	multi-sectors
multiset	multisets
multipole	multipoles
multi-stakeholder	multi-stakeholders
multitask	multitasking
multitask	multitasks
multitask	multitasked
multi-task	multi-tasked
multi-task	multi-tasking
multi-task	multi-tasks
multitude	multitudes
multi-user	multi-users
multi-vendor	multi-vendors
multivitamin	multivitamins
multiuser	multiusers
multi-vitamin	multi-vitamins
multiword	multiwords
multi-word	multi-words
mum	mums
mumble	mumbled
mumble	mumbling
multiple	multiples
mummification	mummifications
mummify	mummified
mummify	mummifying
mumble	mumbles
mummify	mummifies
mump	mumps
mummy	mummies
munch	munching
municipality	municipalities
munition	munitions
muntjac	muntjacs
munch	munches
mural	murals
munch	munched
murder	murdering
murder	murdered
murderer	murderers
murderess	murderesses
murder	murders
muon	muons
murky	murkier
murmur	murmuring
murmur	murmurs
murmur	murmured
muscle	muscled
muscle	muscling
musculature	musculatures
murky	murkiest
muse	muses
muscle	muscles
museum	museums
muse	musing
musher	mushers
muse	mused
mush	mushes
mushroom	mushrooming
mushroom	mushrooms
mushroom	mushroomed
music	musics
mushy	mushiest
musician	musicians
musical	musicals
musicologist	musicologists
musing	musings
mushy	mushier
musket	muskets
musketeer	musketeers
Muslim	Muslims
mussel	mussels
must	musts
musky	muskier
mustache	mustaches
mustang	mustangs
mustard	mustards
muster	mustering
muster	musters
muster	mustered
musty	mustiest
musk	musks
musty	mustier
mutability	mutabilities
mutagenicity	mutagenicities
mutant	mutants
mutagen	mutagens
mutate	mutates
mutagenesis	mutageneses
mutate	mutating
mutation	mutations
mute	muted
mutate	mutated
mutator	mutators
mute	mutest
mute	muting
mutilate	mutilated
mute	mutes
mutilate	mutilates
mutilate	mutilating
mutilation	mutilations
mutiny	mutinied
mutineer	mutineers
mutiny	mutinying
mutt	mutts
mutiny	mutinies
mutter	muttering
mute	muter
mutter	mutters
mutualism	mutualisms
mutuality	mutualities
mutter	muttered
muzzle	muzzling
muzzle	muzzles
mv	mvs
muzzle	muzzled
myasthenia	myasthenias
muzzy	muzzier
mycelium	mycelia
mycobacterium	mycobacteria
myalgia	myalgias
mycologist	mycologists
mycoplasma	mycoplasmas
mycology	mycologies
mycoplasma	mycoplamae
mycorrhiza	mycorrhizae
mycosis	mycoses
mycoplasma	mycoplasmata
mycorrhiza	mycorrhizas
myelofibrosis	myelofibroses
myeloma	myelomas
mycotoxin	mycotoxins
myocardium	myocardia
myoclonus	myocloni
myocyte	myocytes
myeloma	myelomata
myoglobin	myoglobins
myopia	myopias
myopathy	myopathies
myosin	myosins
myositis	myositides
mystery	mysteries
mystic	mystics
myriad	myriads
mysticism	mysticisms
mystify	mystifies
mystify	mystifying
mystify	mystified
mythologise	mythologised
mythologise	mythologises
myelin	myelins
mythologise	mythologising
mythologize	mythologized
mythologize	mythologizing
mythology	mythologies
mythologize	mythologizes
myth	myths
myxomatosis	myxomatoses
