n	n'
nommé	nommée
nommer	nommai
nommé	nommés
nommer	nommaient
nommer	nommais
nommer	nommâmes
nommer	nommant
nommer	nommasse
nommer	nommas
nommer	nommassent
nommer	nommait
nommer	nommasses
nommer	nommassions
nommer	nommât
nommer	nommâtes
nommer	nommé
nommer	nommassiez
nommer	nommées
nommer	nommée
nommer	nommera
nommer	nommerai
nommer	nommeraient
nommer	nomment
nommer	nommerais
nommer	nommeras
nommer	nommerait
nommer	nommèrent
nommer	nomme
nommer	nommeriez
nommer	nommerons
nommer	nommerions
nommer	nommerez
nommer	nommeront
nommer	nommez
nommer	nommiez
nommer	nommions
nommer	nommes
nommer	nommons
non-activité	non-activités
non-agression	non-agressions
non-aligné	non-alignée
nonagénaire	nonagénaires
nommer	nommés
non-aligné	non-alignés
non-aligné	non-alignées
non-belligérant	non-belligérante
non-belligérant	non-belligérantes
non-belligérant	non-belligérants
non-alignement	non-alignements
non-blanc	non-blancs
non-assistance	non-assistances
nonchalance	nonchalances
nonce	nonces
nonchalant	nonchalantes
nonciature	nonciatures
nonchalant	nonchalants
non-combattant	non-combattants
non-conformiste	non-conformistes
non-croyant	non-croyante
non-croyant	non-croyantes
non-croyant	non-croyants
non-directif	non-directifs
non-directif	non-directive
non-directif	non-directives
non-dit	non-dits
nonchalant	nonchalante
non-engagé	non-engagée
non-conformisme	non-conformismes
none	nones
non-engagé	non-engagés
non-engagé	non-engagées
non-ingérence	non-ingérences
nonette	nonettes
non-initié	non-initiés
non-malade	non-malades
nonnette	nonnettes
non-lieu	non-lieux
non-paiement	non-paiements
nonne	nonnes
nonpareil	nonpareille
non-prolifération	non-proliférations
non-résident	non-résidentes
non-résident	non-résidente
non-résident	non-résidents
non-spécialiste	non-spécialistes
non-réussite	non-réussites
non-stop	non-stops
non-valeur	non-valeurs
non-violence	non-violences
non-violent	non-violentes
non-violent	non-violente
non-violent	non-violents
non-respect	non-respects
nopal	nopals
non-voyant	non-voyante
nord-africain	nord-africaine
nord-africain	nord-africains
nord-africain	nord-africaines
nord-américain	nord-américaines
nord-américain	nord-américaine
nord-coréen	nord-coréenne
nord-américain	nord-américains
nord-coréen	nord-coréens
nord-coréen	nord-coréennes
non-voyant	non-voyants
nordir	nordie
nordique	nordiques
nordir	nordîmes
nordir	nordi
nordir	nordira
nordir	nordies
nordir	nordiraient
nordir	nordirais
nordir	nordirait
nordir	nordiras
nordir	nordirent
nordir	nordiriez
nordir	nordirez
nordir	nordirons
nordir	nordiront
nordir	nordirions
nordir	nordissaient
nordir	nordis
nordir	nordissais
nordir	nordissait
nordir	nordisse
nordir	nordissant
nordir	nordirai
nordir	nordisses
nordir	nordissiez
nordir	nordissions
nordir	nordissez
nordir	nordissent
nordir	nordissons
nordir	nordîtes
nordiste	nordistes
nord-vietnamien	nord-vietnamienne
nord-vietnamien	nord-vietnamiens
noria	norias
nordir	nordît
normal	normales
normal	normaux
normale	normales
normalien	normalienne
nordir	nordit
normal	normale
normalisation	normalisations
normalien	normaliennes
normalien	normaliens
normalisé	normalisés
normaliser	normalisaient
normaliser	normalisai
normaliser	normalisais
normaliser	normalisâmes
normaliser	normalisait
normaliser	normalisas
normaliser	normalisant
normaliser	normalisasse
normaliser	normalisasses
normaliser	normalisassent
normaliser	normalisassions
normaliser	normalisassiez
normaliser	normalisa
normaliser	normalisâtes
normaliser	normalisé
normaliser	normalisât
normaliser	normalisées
normaliser	normalisée
normaliser	normalisera
normaliser	normalisent
normaliser	normaliserai
normaliser	normaliseraient
normaliser	normaliserait
normaliser	normaliseras
normaliser	normaliserais
normaliser	normalisèrent
normaliser	normaliseriez
normaliser	normaliserions
normaliser	normaliserons
normaliser	normaliseront
normaliser	normalises
normaliser	normalise
normaliser	normaliserez
normaliser	normalisiez
normaliser	normalisés
normaliser	normalisions
normaliser	normalisez
normaliser	normalisons
normand	normandes
normand	normande
normalité	normalités
normatif	normative
normand	normands
normatif	normatives
norrois	norroise
normatif	normatifs
norvégien	norvégienne
norvégien	norvégiennes
norvégienne	norvégiennes
norme	normes
norvégien	norvégiens
nosocomial	nosocomiales
nosologie	nosologies
nosocomial	nosocomiaux
nostalgique	nostalgiques
notabilité	notabilités
notable	notables
nostalgie	nostalgies
notaire	notairesse
nosocomial	nosocomiale
notaire	notairesses
notaire	notaires
notarial	notariale
notarial	notariales
notariat	notariats
notarié	notariés
notarial	notariaux
notarier	notarié
notarié	notariée
notarier	notariées
notation	notations
notarier	notariés
noté	notées
note	notes
noté	notée
noter	notai
noté	notés
noter	notaient
noter	notais
noter	notâmes
noter	notant
noter	nota
noter	notas
noter	notasse
noter	notasses
noter	notassent
noter	notassions
noter	notassiez
noter	notâtes
noter	note
noter	notât
noter	notait
noter	notées
noter	notent
noter	notera
noter	noté
noter	notée
noter	noterais
noter	noteraient
noter	noteras
noter	noterait
noter	notèrent
noter	noterez
noter	noteriez
noter	noterions
noter	noterai
noter	noterons
noter	notés
noter	noteront
noter	notiez
noter	notez
noter	notions
notice	notices
noter	notes
notification	notifications
notifié	notifiées
notifié	notifiée
notifier	notifiai
noter	notons
notifier	notifia
notifier	notifiait
notifier	notifiaient
notifier	notifiâmes
notifier	notifiant
notifier	notifiasse
notifier	notifiassent
notifier	notifias
notifier	notifiasses
notifier	notifiassions
notifier	notifiais
notifier	notifiassiez
notifier	notifie
notifier	notifiâtes
notifier	notifié
notifier	notifiât
notifier	notifiées
notifier	notifiera
notifier	notifient
notifier	notifieraient
notifier	notifiée
notifier	notifierais
notifier	notifieras
notifier	notifierait
notifier	notifièrent
notifier	notifierez
notifier	notifieriez
notifier	notifierions
notifier	notifierons
notifier	notifies
notifier	notifierai
notifier	notifieront
notifier	notifiiez
notifier	notifiions
notifier	notifiés
notifier	notifions
notifier	notifiez
notion	notions
notionnel	notionnelles
notionnel	notionnelle
notionnel	notionnels
notoire	notoires
nôtre	les_nôtres
notoriété	notoriétés
notre	nos
nôtre	la_nôtre
notule	notules
nôtre	nôtres
notonecte	notonectes
noué	nouée
noué	nouées
nouba	noubas
nouer	noua
noué	noués
nouer	nouais
nouer	nouai
nouer	nouait
nouer	nouaient
nouer	nouasse
noue	noues
nouer	nouant
nouer	nouassent
nouer	nouasses
nouer	nouassiez
nouer	nouas
nouer	nouâmes
nouer	nouâtes
nouer	nouassions
nouer	noué
nouer	nouât
nouer	nouées
nouer	noue
nouer	nouée
nouer	nouerai
nouer	nouent
nouer	noueraient
nouer	nouerais
nouer	nouera
nouer	nouerait
nouer	nouèrent
nouer	noueriez
nouer	nouerez
nouer	nouerions
nouer	nouerons
nouer	noueront
nouer	noués
nouer	noueras
nouer	nouions
nouer	nouez
nouer	noues
nouer	nouiez
noueux	noueuses
nouer	nouons
nougat	nougats
nougatine	nougatines
noumène	noumènes
noueux	noueuse
nouille	nouilles
nourrain	nourrains
nourri	nourrie
nourri	nourries
nourrice	nourrices
nourricier	nourricière
nourricier	nourricières
nourri	nourris
nourricier	nourriciers
nourrir	nourrie
nourrir	nourries
nourrir	nourrîmes
nourrir	nourri
nourrir	nourrira
nourrir	nourrirai
nourrir	nourriraient
nourrir	nourrirait
nourrir	nourrirais
nounou	nounous
nourrir	nourriras
nourrir	nourririez
nourrir	nourrirent
nourrir	nourririons
nourrir	nourrirez
nourrir	nourriront
nourrir	nourrirons
nourrir	nourrissaient
nourrir	nourris
nourrir	nourrissait
nourrir	nourrisse
nourrir	nourrissant
nourrir	nourrissent
nourrir	nourrisses
nourrir	nourrissais
nourrir	nourrissions
nourrir	nourrissiez
nourrir	nourrit
nourrir	nourrissons
nourrissant	nourrissante
nourrir	nourrissez
nourrissant	nourrissantes
nourrir	nourrîtes
nourrissant	nourrissants
nourrir	nourrît
nouure	nouures
nouveau	nouveaux
nourrisson	nourrissons
nourriture	nourritures
nouveau	nouvelle
nouveau	nouvelles
nouveau-né	nouveau-née
nouveau-né	nouveau-nées
nouveau-né	nouveaux-nés
nouveauté	nouveautés
nouveau-né	nouveau-nés
nouveau	nouvel
nouvelle	nouvelles
nouvelliste	nouvellistes
novateur	novatrice
novateur	novatrices
novation	novations
novelette	novelettes
novembre	novembres
nover	nova
nover	nove
novice	novices
noyade	noyades
novillero	novilleros
nova	novas
noyautage	noyautages
novateur	novateurs
noyauter	noyauta
noyauter	noyautant
noyau	noyaux
noyauter	noyautée
noyauter	noyautées
noyauter	noyauté
noyauter	noyautent
noyé	noyés
noyé	noyées
noyer	noie
noyer	noient
noyer	noierai
noyer	noieraient
noyé	noyée
noyer	noierait
noyer	noieras
noyer	noierais
noyer	noierez
noyer	noieriez
noyer	noierions
noyer	noieront
noyer	noies
noyer	noya
noyer	noyai
noyer	noyaient
noyer	noyait
noyer	noyais
noyer	noyâmes
noyer	noyant
noyer	noierons
noyer	noyasse
noyer	noyas
noyer	noiera
noyer	noyasses
noyer	noyassiez
noyer	noyassions
noyer	noyâtes
noyer	noyé
noyer	noyassent
noyer	noyât
noyer	noyée
noyer	noyèrent
noyer	noyers
noyer	noyez
noyer	noyés
noyer	noyions
noyer	noyiez
nu	nues
noyer	noyons
nu	nus
nuage	nuages
nuageux	nuageuse
nuance	nuances
nuageux	nuageuses
nu	nue
noyer	noyées
nuancé	nuancées
nuancé	nuancée
nuancer	nuança
nuancer	nuançais
nuancer	nuançaient
nuancer	nuançait
nuancer	nuançâmes
nuancé	nuancés
nuancer	nuanças
nuancer	nuançant
nuancer	nuançasse
nuancer	nuançassent
nuancer	nuançai
nuancer	nuançasses
nuancer	nuançassions
nuancer	nuançassiez
nuancer	nuance
nuancer	nuançâtes
nuancer	nuancé
nuancer	nuancée
nuancer	nuancées
nuancer	nuancent
nuancer	nuançât
nuancer	nuanceraient
nuancer	nuancerai
nuancer	nuancerais
nuancer	nuancerait
nuancer	nuanceras
nuancer	nuancèrent
nuancer	nuanceriez
nuancer	nuancerez
nuancer	nuancerons
nuancer	nuancerions
nuancer	nuancera
nuancer	nuanceront
nuancer	nuances
nuancer	nuancés
nuancer	nuancions
nuancer	nuançons
nuancer	nuancez
nuancer	nuanciez
nucal	nucale
nubien	nubiens
nubien	nubienne
nucal	nucaux
nubile	nubiles
nucléaire	nucléaires
nucléé	nucléée
nucléole	nucléoles
nucléotide	nucléotides
nucal	nucales
nudiste	nudistes
nue-propriété	nues-propriétés
nudité	nudités
nuée	nuées
nuer	nuas
nuer	nuées
nuire	nuirai
nuire	nui
nuire	nuira
nuire	nuiraient
nuire	nuiras
nuire	nuirait
nuire	nuirais
nuire	nuirions
nuire	nuiriez
nuire	nuiront
nuire	nuirez
nuire	nuirons
nuire	nuisaient
nuire	nuisant
nuire	nuisait
nuire	nuisent
nuire	nuisais
nuire	nuis
nuire	nuise
nuire	nuisez
nuire	nuisiez
nuire	nuisîmes
nuire	nuisions
nuire	nuisirent
nuire	nuises
nuire	nuisisse
nuire	nuisissent
nuire	nuisisses
nuire	nuisissions
nuire	nuisit
nuire	nuisissiez
nuire	nuisît
nuire	nuisîtes
nuire	nuisons
nuisance	nuisances
nuit	nuits
nuire	nuit
nuire	nuisis
nuisible	nuisibles
nul	nulle
nuitard	nuitards
nul	nuls
nul	nulles
nuitée	nuitées
nullard	nullarde
nullard	nullardes
nullité	nullités
numéraire	numéraires
numéral	numérale
numéral	numérales
nullard	nullards
numéral	numéraux
numération	numérations
numérique	numériques
numériser	numérisée
numériser	numérisées
numériser	numérise
numériser	numérisez
numéro	no.
numériser	numérisé
numéroté	numérotée
numéroté	numérotés
numéroté	numérotées
numéro	numéros
numéroter	numérota
numéroter	numérotaient
numéroter	numérotait
numéroter	numérotai
numéroter	numérotais
numéroter	numérotas
numéroter	numérotâmes
numéroter	numérotassent
numéroter	numérotant
numéroter	numérotasse
numéroter	numérotassiez
numéroter	numérotassions
numéroter	numérotât
numéroter	numérotâtes
numéroter	numérotasses
numéroter	numérotée
numéroter	numérotées
numéroter	numérotent
numéroter	numéroté
numéroter	numérotera
numéroter	numéroteraient
numéroter	numéroterai
numéroter	numéroterais
numéroter	numérotèrent
numéroter	numéroterait
numéroter	numéroteras
numéroter	numéroteriez
numéroter	numérote
numéroter	numéroterions
numéroter	numéroterons
numéroter	numérotes
numéroter	numéroteront
numéroter	numérotez
numéroter	numéroterez
numéroter	numérotions
numéroter	numérotiez
numéroter	numérotés
numismate	numismates
numéroter	numérotons
nuncupatif	nuncupatifs
nunuche	nunuches
nunchaku	nunchakus
nu-propriétaire	nue-propriétaire
nu-pied	nu-pieds
nu-propriétaire	nus-propriétaires
nu-propriétaire	nues-propriétaires
nuptial	nuptiales
numide	numides
nuptial	nuptiale
nurse	nurses
nuptial	nuptiaux
nursery	nurserys
nutation	nutations
nursing	nursings
nutriment	nutriments
nutritif	nutritive
nutritif	nutritives
nutrition	nutritions
nutritif	nutritifs
nutritionnel	nutritionnelle
nutritionnel	nutritionnelles
nutritionnel	nutritionnels
nyctalope	nyctalopes
nycthémère	nycthémères
nylon	nylons
nymphal	nymphales
nuque	nuques
nymphal	nymphals
nymphéa	nymphéas
nymphe	nymphes
nymphal	nymphale
nymphette	nymphettes
nymphée	nymphées
nymphomane	nymphomanes
nympho	nymphos
